Customer ID,Time Stamp,Txn Type,Plate No,Doc No,Exp Date,New Exp Date,Proc Type,Premium,Text Date Time,Call Date Time,Visit Date Time,Complete Date,Company Name,Ownership,Memo,Postal Cd,Addr St Nm,Addr Pv Nm,Chg Date Time
0000000051,20170808120065,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120066,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120067,NEW PLATE,kkk,llll,20180421,20190421,COMPLETE,0.0,,,,20170700,,OBED,AMC INS.,,,,null
0000000051,20170808120068,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120069,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120070,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120071,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120072,RENEW,null,null,20180421,20190421,FAIL,0.0,null,null,null,20170700,null,OBED,AMC INS.,null,null,null,null
0000000051,20170808120073,CANCEL,null,null,20180421,20190421,FAIL,-54.19,null,20170719,null,20170719,null,OBED,refund,null,null,null,null
0000000051,20170910004704,RENEW,DK572M,00Q0MWP,20180421,20190421,null,0.0,null,null,null,null,ICBC,MOLLY,null,null,null,null,null
0000000051,20170910004704,RENEW,DD361K,00M0MQP,20180421,20190421,null,0.0,null,null,null,null,ICBC,MOLLY,null,null,null,null,null
0000000051,20170910004704,RENEW,KM8893,64WH34A,20180421,20190421,null,0.0,null,null,null,null,ICBC,MOLLY,null,null,null,null,null
0000000051,20170911201456,RENEWAL,asdf,asdf,20180421,20190421,READY,0.0,,,,,,,,afda,1,1,null
0000000051,20170920004103,TRANSFER,asdf,asdf,20180421,20190421,READY,0.0,,,,,,,,,,,null
0000000051,20170923221714,NEW PLATE,asdf,,20180421,20190421,READY,0.0,,,,,,,,,,,null
0000000051,20170924000301,RENEWAL,KM8893,null,20180421,20190421,READY,0.0,null,null,null,null,ICBC,MOLLY,null,null,null,null,null
0000000051,20170924001421,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924001443,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924001645,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924002412,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924084022,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924084113,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924084142,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924084249,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170924084346,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,null
0000000051,20170929175259,NEW PLATE,asdf,,20180421,20190421,READY,0.0,20170929,20170929,20170929,20170929,,,,,,,null
0000000051,20171008003452,RENEWAL,asdf,null,20180421,20190421,READY,0.0,null,null,null,null,,,null,null,null,null,20171008003452
0000000051,20171009162735,NEW PLATE,asdf,,20180421,20190421,RESERVED,0.0,,,20170923,,,,,,,,20171112172508
0000000051,20171009163954,NEW PLATE,ou,,20180421,20190421,READY,0.0,,,,,,,,,,,20171009163959
0000000051,20171009164020,NEW PLATE,ou,,20180421,20190421,READY,0.0,,,,,,,,,,,20171009164024
0000000051,20171125165031,RENEWAL,KM8893,null,20180421,20190421,READY,0.0,null,null,null,null,ICBC,MOLLY,null,null,null,null,20171125165031
